Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,cFcFbaBfd5b990c,Ochoa Ltd,http://www.ford.com/,Bhutan,Adaptive heuristic customer loyalty,2014,Luxury Goods / Jewelry,9003
2,fADcDdFde731F70,Koch Inc,http://weeks.com/,Maldives,Devolved solution-oriented infrastructure,1974,Higher Education / Acadamia,2610
3,32756Aa0D8FDB49,Mills-Bauer,http://shah.com/,Montserrat,Switchable grid-enabled infrastructure,1992,Primary / Secondary Education,3616
4,3B07feDEB8Bc558,Parks and Sons,https://ballard.com/,Bermuda,Front-line 5thgeneration complexity,2001,Apparel / Fashion,6725
5,D8CFfECbD477e3A,Jordan PLC,https://www.dodson-roth.info/,Malaysia,Reduced bifurcated architecture,1989,Health / Fitness,9480
6,d87613D3cc6606a,Fisher Ltd,http://whitehead-holt.com/,Myanmar,Customer-focused tertiary task-force,1987,Consumer Goods,3034
7,3Ad2F87CEa00e57,Irwin-Hernandez,https://parrish-valdez.info/,Falkland Islands (Malvinas),Vision-oriented human-resource product,2007,Computer Games,1809
8,Bf16E476adFFa5f,Blackwell and Sons,http://nichols.com/,Northern Mariana Islands,De-engineered discrete solution,1995,Individual / Family Services,2830
9,3FbaEcB664019C6,Moody Inc,https://www.rios.org/,Ethiopia,Exclusive user-facing extranet,1984,Semiconductors,3931
10,734D2A9A5f60d02,Morse and Sons,https://huynh-lindsey.com/,South Georgia and the South Sandwich Islands,Extended even-keeled knowledgebase,1983,Aviation / Aerospace,2978
11,bb4d0F6B70Bf8d8,"Farrell, Valenzuela and Duran",http://www.villa.com/,Tanzania,Mandatory directional extranet,1973,Mining / Metals,3044
12,7AcAfcdD96BF194,Rowe PLC,https://www.mcconnell-robertson.net/,Antigua and Barbuda,User-centric bi-directional project,2010,Banking / Mortgage,8664
13,9A7dd3a31F0E74b,"Cunningham, Ayers and Vaughn",https://nicholson-mosley.com/,Georgia,Realigned discrete flexibility,1982,Medical Equipment,5881
14,70c35d6Ae0C6eBe,Stevens Group,https://guzman-holden.com/,Cameroon,Persistent cohesive emulation,1992,Glass / Ceramics / Concrete,9345
15,bB1dE0f35345daa,"Luna, Lowe and Steele",http://www.walsh-mcconnell.com/,Qatar,Organic heuristic groupware,1973,Broadcast Media,1382
16,DeE907A18faACca,"Reed, Pollard and Massey",https://www.mccullough-pitts.com/,Christmas Island,Enhanced 6thgeneration implementation,2021,Fishery,8030
17,0d1fC9c1fe2E1E9,Dominguez Group,https://www.reyes-gamble.net/,Marshall Islands,Virtual attitude-oriented algorithm,1978,Public Relations / PR,8690
18,E2a863eAC6d3cCd,Cisneros PLC,https://www.chapman.com/,Peru,Programmable radical hardware,1989,Construction,8766
19,BEF5Ba74aB25f31,Lawson-Carpenter,http://hooper.com/,Monaco,Mandatory maximized protocol,2013,Maritime,182
20,32e5DEfcbaA73bD,Santos-Fleming,https://mckee-faulkner.info/,Portugal,Proactive context-sensitive adapter,2009,Market Research,7089
21,5493Ad19DfDbaD1,Nash Inc,http://www.ingram-stark.com/,Korea,Function-based eco-centric artificial intelligence,1985,Apparel / Fashion,8820
22,41C30DdAf5EBBfE,Solis Inc,http://burgess-bautista.com/,Kuwait,Synergized empowering encoding,1986,Online Publishing,8480
23,db18df4ecAd18AF,Allison-Preston,https://moody.com/,Turkey,Universal neutral intranet,1986,Wireless,1879
24,0Da9eC8FcD3eA19,"Norris, Frey and Meyer",https://young-pena.info/,Taiwan,Ergonomic 6thgeneration application,2012,Media Production,1193
25,59FbDAAFBB3Df6b,Rose Group,http://christian.com/,Nicaragua,Optimized full-range framework,1987,Accounting,703
26,d1EC0d43df7613F,"Monroe, Bennett and Harrison",https://green-huang.com/,Dominican Republic,Programmable responsive website,1982,Import / Export,6384
27,1ab360ac5523e0D,Bryan Inc,http://www.conway.com/,New Caledonia,Upgradable asymmetric collaboration,2011,Retail Industry,104
28,FFB3d5FABc2e3E1,Boyer-Duncan,https://www.huynh-klein.com/,Cote d'Ivoire,Right-sized actuating initiative,1980,Logistics / Procurement,2827
29,1bbcdcBFEBbA8fa,"Austin, Fox and Downs",https://www.olson.com/,Germany,Reactive dynamic Internet solution,1978,Human Resources / HR,273
30,Cdda0C7A5aC388F,Stein-Patrick,https://www.hanson-maxwell.info/,Kazakhstan,Organized even-keeled challenge,1976,Alternative Dispute Resolution,6293
31,5d63E1d2bEF62D7,Krause and Sons,https://mendez.com/,Guinea-Bissau,User-friendly interactive forecast,1984,Law Practice / Law Firms,265
32,3C119e78d4CC932,"Wiggins, Moran and Villarreal",http://pierce.com/,United States Virgin Islands,Customer-focused hybrid parallelism,1986,Capital Markets / Hedge Fund / Private Equity,8029
33,7ECc733cBEAf90B,Byrd-Frank,http://booker.com/,Uzbekistan,Integrated optimizing monitoring,1986,Wine / Spirits,1206
34,260c12CA8b6A361,Pittman-Fisher,https://harrell.com/,Kyrgyz Republic,Intuitive non-volatile secured line,2016,E - Learning,589
35,FCAEB500f1D2e1E,"Newton, Juarez and Boone",https://www.potter.com/,Armenia,Reverse-engineered intermediate circuit,1972,Shipbuilding,84
36,8ca2895CD2F4ADB,Myers-Howell,https://www.mcconnell.com/,American Samoa,Multi-tiered hybrid utilization,1986,Warehousing,5846
37,708ba1Bfd3DE0DF,Marshall-Reed,https://www.mercado.net/,British Indian Ocean Territory (Chagos Archipelago),Cross-platform multimedia access,1999,Staffing / Recruiting,6416
