Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,DdAAE76bE20dCE4,Long-Patterson,https://mcdowell.com/,French Guiana,Quality-focused needs-based secured line,2018,Plastics,4186
2,fB7cb3AaBfaD5Bc,Hobbs-Alvarado,https://burke.biz/,Pitcairn Islands,User-friendly static Internet solution,1992,Market Research,4803
3,46ea53A2Cd44b58,"Hampton, Kerr and Tapia",https://cox-doyle.com/,Iraq,Open-source optimizing ability,2002,Pharmaceuticals,1604
4,0d8dCAeBf34bCCa,Huerta-Schaefer,http://yates.biz/,Madagascar,Synergized bottom-line migration,1996,Public Relations / PR,1240
5,eFE0Ad7cAC8cF5E,Jackson-Patton,http://www.estrada.com/,Paraguay,Visionary web-enabled website,2020,Fine Art,3694
6,68DF3dCB7F2F5C9,Hutchinson-Reed,https://www.hutchinson-diaz.com/,Papua New Guinea,Visionary analyzing implementation,2007,Public Safety,8422
7,af2A9cFb67E0B06,Phelps-Hendrix,http://nelson.com/,Cook Islands,Organic intangible info-mediaries,2000,Judiciary,893
8,8aC729e27eF2c1B,Spears-Wiggins,https://mcbride.com/,Guatemala,Mandatory 5thgeneration product,2020,Animation,3440
9,13E59A9E3FdCE4b,"Allison, Irwin and Thomas",https://huang.com/,Burkina Faso,Balanced encompassing hierarchy,1995,Real Estate / Mortgage,2849
10,0a16E2d9428De2B,"Downs, Schultz and Cantu",https://www.molina.net/,Andorra,Customizable incremental customer loyalty,1983,Consumer Services,1855
11,e0a8C277dEdA50E,"Cisneros, Banks and Sanford",http://mcpherson-peterson.biz/,Finland,Progressive didactic projection,2006,Defense / Space,3443
12,4F41c427e78bFfe,Tanner LLC,https://www.mullen.com/,New Zealand,Integrated real-time project,1977,Package / Freight Delivery,1210
13,aa2cBC9c21bd7B5,Nguyen-Everett,http://santana.com/,Grenada,Digitized foreground challenge,2005,International Affairs,719
14,80BbfFbFd838Df2,Randolph LLC,http://www.avery.org/,Hong Kong,Monitored even-keeled throughput,1978,Dairy,6351
15,5C88BBABaeE99b3,Sexton LLC,https://www.stewart.net/,Belgium,Multi-layered optimizing structure,2019,Paper / Forest Products,6457
16,ca1f3E45dBE9AbA,Dodson-Pratt,http://www.kline-cisneros.com/,Serbia,Balanced upward-trending monitoring,2007,Civic / Social Organization,9238
17,eE59A9DC34BF4C9,"Ali, Rogers and Marshall",https://www.french.com/,Belarus,Switchable next generation open system,2007,Transportation,825
18,Ab467efCe2FdC93,Mccormick-Hansen,http://www.dawson.org/,Luxembourg,Networked systematic application,2022,Wine / Spirits,5017
19,4F500e0bf6d562c,"Ingram, Ochoa and Cantu",https://reilly.net/,Trinidad and Tobago,Adaptive upward-trending software,2013,Civic / Social Organization,4647
20,4389c7F6CEA92d4,Lang Ltd,https://www.hatfield.com/,Mexico,Versatile systematic migration,1973,Luxury Goods / Jewelry,5189
21,00bDadef6B3e309,Davenport LLC,https://www.villarreal.com/,Turks and Caicos Islands,Realigned client-server monitoring,1998,Marketing / Advertising / Sales,3700
22,0dcb6Cd2c326fe4,"Koch, Avery and Wise",http://www.bowers.net/,Malaysia,Profound zero administration extranet,2002,Graphic Design / Web Design,587
23,6DfA00a8a4BAbcd,Pruitt LLC,https://wilcox.com/,Cayman Islands,Organic content-based adapter,2014,Leisure / Travel,1821
24,D0a5B44f4e35F66,Stanton PLC,https://best.com/,Guam,Advanced holistic Graphic Interface,1999,Design,3186
